//FORMAT: generic drug|brand drug|side effect1, side effect2,...
//removed some paradoxical side effects
Fluoxetine|prozac|severe blistering, peeling, red skin rash, very stiff rigid muscles, high fever, sweating, fast heartbeats, uneven heartbeats, tremors, overactive reflexes, nausea, vomiting, diarrhea, loss of appetite, feeling unsteady, loss of coordination, headache, trouble concentrating, memory problems, weakness, confusion, hallucinations, fainting, seizure, shallow breathing, breathing that stops, cold symptoms such as stuffy nose, sneezing, sore throat, drowsiness, dizziness, feeling nervous, mild nausea, upset stomach, constipation, increased appetite, weight changes, sleep problems, insomnia, decreased sex drive, impotence, difficulty having an orgasm, dry mouth
Fluvoxamine|Luvox|Constipation, decreased sexual ability, diarrhea, dizziness, drowsiness, dry mouth, gas, headache, increased sweating, loss of appetite, nausea, nervousness, sore throat, stomach upset, trouble sleeping, vomiting, weakness, rash, hives, itching, difficulty breathing, tightness in the chest, swelling of the mouth, swelling of the face, swelling of the lips, swelling of the tongue, bizarre behavior, black stools, bloody stools, chest pain, confusion, decreased concentration, decreased coordination, exaggerated reflexes, fainting, fast heartbeat, irregular heartbeat, fever, hallucinations, memory loss, new agitation, worsening agitation, panic attacks, aggressiveness, impulsiveness, irritability, hostility, exaggerated feeling of well-being, restlessness, inability to sit still, painful menstrual periods, persistent erection, painful erection, red skin, swollen skin, blistered skin, peeling skin, seizures, severe headache, persistent headache, trouble sleeping, stiff muscles, stomach pain, suicidal thoughts, suicidal attempts, tremor, unusual bruising, unusual bleeding, unusual mental changes, severe mental changes, unusual mood changes, severe mood changes, unusual swelling, unusual weakness, vision changes
Imipramine|Janimine, Tofranil|Dizziness, drowsiness, dry mouth, excitement, headache, impotence, nausea, nightmares, pupil dilation, sensitivity to sunlight, sweating, tiredness, upset stomach, vomiting, weakness, weight loss, weight gain, rash, hives, itching, difficulty breathing, tightness in the chest, swelling of the mouth, swelling of the face, swelling of the lips, swelling of the tongue, blurred vision, other vision changes, changes in sex drive, chest pain, confusion, constipation, fainting, fast heartbeat, slow heartbeat, irregular heartbeat, fever, frequent urination, difficult urination, hallucinations, impulsive behavior, other unusual changes in behavior jaw spasms, neck spasms, muscle spasms, mental changes, mood changes, increased anxiety, mood swings, agitation, irritability, nervousness, restlessness, panic attacks, ringing in the ears, seizures, severe dizziness, drowsiness, sore throat, stomach pain, suicidal thinking, suicidal behavior, swelling of the testicles, tremor, trouble sleeping, trouble walking, trouble keeping your balance, twitching of the face, twitching of the tongue, uncontrolled movements of arms and legs, stiffness, unusual bleeding, unusual bruising, worsening of depression, yellowing of the skin, yellowing of the eyes
Milnacipran|Ixel, Savella|fast heartbeats, pounding heartbeats, painful urination, difficult urination, easy bruising, easy bleeding, nosebleeds, bloody stools, tarry stools, coughing up blood, confusion, hallucinations, severe weakness, seizure, convulsions, high fever, sweating, chills, goose bumps, memory problems, trouble concentrating, loss of coordination, overactive reflexes, vomiting, diarrhea, high blood pressure, severe headache, blurred vision, buzzing in your ears, chest pain, shortness of breath, uneven heartbeats, stomach pain, loss of appetite, dark urine, clay-colored stools, jaundice, yellowing of the skin, yellowing of the eyes, constipation, dry mouth, nausea, stomach pain, heartburn, bloating, dizziness, drowsiness, headache, tired feeling, stuffy nose, sneezing, other cold symptoms, sleep problems, insomnia, swelling in your hands, swelling in your feet, hot flashes, sweating, itching, mild skin rash, numbness, tingling, blurred vision, decreased sex drive, impotence, difficulty having an orgasm
Mirtazapine|Remeron|fever, chills, body aches, flu symptoms, white patches inside your mouth, sores inside your mouth, sores on your lips, feeling like you might pass out, drowsiness, dizziness, weakness, nausea, stomach pain, constipation, increased appetite, weight gain, dry mouth, thirst
//Moclobemide|Aurorix, Manerix| - N/A in drugs.com 
Nefazodone|Serzone|difficulty breathing, closing of your throat, swelling of your lips, swelling of your tongue, swelling of your face, hives, fainting, prolonged erection, painful erection, inappropriate erections, dizziness, lightheadedness, drowsiness, upset stomach, insomnia, dry mouth, constipation, blurred vision, abnormal vision
Nortriptyline|Aventyl, Pamelor|Dizziness, drowsiness, dry mouth, excitement, headache, impotence, nausea, nightmares, pupil dilation, sensitivity to sunlight, sweating, tiredness, upset stomach, vomiting, weakness, weight loss, weight gain, rash, hives, itching, difficulty breathing, tightness in the chest, swelling of the mouth, swelling of the face, swelling of the lips, swelling of the tongue, blurred vision, other vision changes, changes in sex drive, chest pain, confusion, constipation, fainting, fast heartbeat, slow heartbeat, irregular heartbeat, fever, frequent urination, difficult urination, hallucinations, impulsive behavior, other unusual changes in behavior, jaw spasms, neck spasms, muscle spasms, mental changes, mood changes, increased anxiety, mood swings, agitation, irritability, nervousness, restlessness, panic attacks, ringing in the ears, seizures, severe dizziness, severe drowsiness, sore throat, stomach pain, suicidal thinking, suicidal behavior, swelling of the testicles, tremor, trouble sleeping, trouble walking, trouble keeping your balance, twitching of the face, twitching of the tongue, uncontrolled movements of arms and legs, stiffness, unusual bleeding, unusual bruising, worsening of depression, yellowing of the skin, yellowing of the eyes
Paroxetine|Paxil|easy bruising, easy bleeding, nosebleed, very stiff rigid muscles, high fever, sweating, fast heartbeats, uneven heartbeats, tremors, overactive reflexes, nausea, vomiting, diarrhea, loss of appetite, feeling unsteady, loss of coordination, headache, trouble concentrating, memory problems, weakness, confusion, hallucinations, fainting, seizure, shallow breathing, breathing that stops, feeling nervous, drowsiness, dizziness, sleep problems, insomnia, mild nausea, constipation, weight changes, decreased sex drive, impotence, difficulty having an orgasm, dry mouth, yawning, ringing in your ears
Sertraline|Zoloft|very stiff rigid muscles, high fever, sweating, fast heartbeats, uneven heartbeats, tremors, overactive reflexes, nausea, vomiting, diarrhea, loss of appetite, feeling unsteady, loss of coordination, headache, trouble concentrating, memory problems, weakness, confusion, hallucinations, fainting, seizure, shallow breathing, breathing that stops, drowsiness, dizziness, tired feeling, mild nausea, stomach pain, upset stomach, constipation, dry mouth, changes in appetite, changes in weight, sleep problems, insomnia, decreased sex drive, impotence, difficulty having an orgasm
Trazodone|Desyrel|Blurred vision, constipation, decreased appetite, dizziness, drowsiness, dry mouth, general body discomfort, headache, incoordination, light-headedness, muscle aches, muscle pains, nausea, nervousness, sleeplessness, stomach pain, stuffy nose, swelling of the skin, tiredness, tremors, rash, hives, itching, difficulty breathing, tightness in the chest, swelling of the mouth, swelling of the face, swelling of the lips, swelling of the tongue, blood in urine, chest pain, fainting, hallucinations, irregular heartbeat, light-headedness when rising from a lying position, light-headedness when rising from a seated position, prolonged erections, inappropriate erections, painful erections, seizures, shortness of breath, stroke, vomiting
Venlafaxine|Effexor, Effexor-XR|increased blood pressure, severe headache, blurred vision, easy bruising, easy bleeding, severe blistering, peeling skin, red skin rash, very stiff rigid muscles, high fever, sweating, fast heartbeats, uneven heartbeats, tremors, overactive reflexes, nausea, vomiting, diarrhea, loss of appetite, feeling unsteady, loss of coordination, headache, trouble concentrating, memory problems, weakness, confusion, hallucinations, fainting, seizure, shallow breathing, breathing that stops, drowsiness, dizziness, feeling nervous, dry mouth, mild nausea, constipation, decreased sex drive, impotence, difficulty having an orgasm, blurred vision, increased appetite, changes in weight
Aripiprazole|Abilify|fever, stiff muscles, confusion, sweating, fast heartbeats, uneven heartbeats, jerky muscle movements you cannot control, sudden numbness, sudden weakness, headache, confusion, problems with vision, problems with speech, problems with balance, fever, chills, body aches, flu symptoms, white patches inside your mouth, sores inside your mouth, sores on your lips, increased thirst, increased urination, loss of appetite, fruity breath odor, drowsiness, dry skin, nausea, vomiting, seizure, convulsions, thoughts of hurting yourself, feeling like you might pass out, jaundice, yellowing of your skin, yellowing of your eyes, urinating less than usual, not urinating at all, choking, trouble swallowing, dizziness, drowsiness, weakness, constipation, mild stomach upset, headache, sleep problems, insomnia, weight gain
Chlorpromazine|Thorazine|Agitation, dizziness, drowsiness, dry mouth, enlarged pupils, jitteriness, nausea, stuffy nose, rash, hives, itching, difficulty breathing, tightness in the chest, swelling of the mouth, swelling of the face, swelling of the lips, swelling of the tongue, changes in menstrual period, changes in sexual ability, dark urine, difficulty swallowing, drooling, fainting, fast heartbeat, irregular heartbeat, fever, chills, sore throat, involuntary movements, involuntary spasms of the arms and legs, involuntary spasms of the tongue, involuntary spasms of the  face, involuntary spasms of the mouth, involuntary spasms of the jaw, mask-like face, muscle restlessness, prolonged errection, painful erection, restlessness, seizures, shuffling walk, sleeplessness, stiff muscles, rigid muscles, stomach pain, sweating, trouble urinating, unusual eye movements, inability to move eyes, unusual mood, unusual mental changes, lack of response to your surroundings, vision changes, weakness of arms, weakness of legs, yellowing of the skin, yellowing of the eyes
Clozapine|Clozaril|feeling short of breath, feeling short of breath even at night, feeling short of breath with mild exertion, swelling in your hands, swelling in your feet, fever, weakness, sore throat, stiff muscles, confusion, sweating, fast heartbeats, uneven heartbeats, sudden numbness, sudden weakness, sudden numbness on one side of the body, sudden weakness on one side of the body, sudden headache, confusion, problems with vision, problems with speech, problems with balance, chest pain, sudden cough, wheezing, rapid breathing, fast heart rate, pain in one, pain in both legs, swelling in one leg, swelling in both legs, white patches inside your mouth, sores inside your mouth, sores on your lips, nausea, vomiting, loss of appetite, jaundice, yellowing of your skin, yellowing of your eyes, seizure, black-out, convulsions, constipation, drooling, increased sweating, drowsiness, dizziness, spinning sensation, sleep problems, nightmares, weight gain
Haloperidol|Haldol, Serenace|Constipation, diarrhea, dizziness, drowsiness, dry mouth, headache, loss of appetite, nausea, restlessness, stomach upset, trouble sleeping, rash, hives, itching, difficulty breathing, tightness in the chest, swelling of the mouth, swelling of the face, swelling of the lips, swelling of the tongue, blurred vision, other vision changes, confusion, dark urine, decreased sexual ability, decreased urination, difficulty speaking, difficulty swallowing, drooling, enlarged breasts, excessive sweating, unusual sweating, fainting, fast heartbeat, irregular heartbeat, fever, chills, persistent sore throat, hallucinations, mental changes, mood changes, abnormal thinking, agitation, anxiety, missed menstrual period, other menstrual changes, nipple discharge, prolonged erection, painful erection, rigid muscles, stiff muscles, seizures, severe dissiness, persistent dizziness, headache, vomiting, shuffling walk, uncontrolled muscle movements of the arms, uncontrolled muscle movements of the legs, uncontrolled muscle movements of the tongue, uncontrolled muscle movements of the jaw, uncontrolled muscle movements of the cheeks, tremors, twitching, yellowing of the skin, yellowing of the eyes
Olanzapine|Zyprexa|fever, stiff muscles, sweating, fast heartbeats, uneven heartbeats, jerky muscle movements you cannot control, sudden numbness, sudden weakness, numbness on one side of the body, weakness on one side of the body, sudden headache, confusion, problems with vision, problems with speech, problems with balance, fever, chills, body aches, flu symptoms, white patches inside your mouth, sores inside your mouth, sores on your lips, increased thirst, frequent urination, excessive hunger, excessive weakness, feeling light-headed, fainting, unusual thoughts, unusual behavior, hallucinations, thoughts about hurting yourself, nausea, stomach pain, low fever, loss of appetite, dark urine, clay-colored stools, jaundice, yellowing of the skin, yellowing of the eyes, dizziness, drowsiness, weakness, constipation, dry mouth, swelling in your hands, swelling in your feet, back pain, weight gain, increased appetite, upset stomach
Perphenazine|Trilafon|Aching of the limbs, numbness of the limbs, brain swelling, breast milk production, diarrhea, drowsiness, dry mouth, low blood pressure upon standing, nausea, rapid heartbeat, irregular heartbeat, restlessness, salivation, seizures, vomiting
Quetiapine|Seroquel|fever, stiff muscles, confusion, sweating, fast heartbeats, uneven heartbeats, jerky muscle movements you cannot control, sudden numbness, sudden weakness, sudden numbness on one side of the body, sudden weakness on one side of the body, sudden headache, confusion, problems with vision, problems with speech, problems with balance, fever, chills, body aches, flu symptoms, white patches inside your mouth, sores inside your mouth, sores on your lips, increased thirst, frequent urination, excessive hunger, weakness, feeling like you might pass out, urinating less than usual, not urinating at all, dizziness, drowsiness, weakness, dry mouth, runny nose, sore throat, nausea, vomiting, stomach pain, constipation, blurred vision, headache, breast swelling, breast discharge, missed menstrual periods, weight gain
Risperidone|Risperdal|fever, stiff muscles, confusion, sweating, fast heartbeats, uneven heartbeats, restless muscle movements in your eyes, restless muscle movements in your tongue, restless muscle movements in your jaw, restless muscle movements in your neck, tremor, uncontrolled shaking, fever, chills, body aches, flu symptoms, white patches inside your mouth, sores inside your mouth, sores on your lips, trouble swallowing, feeling light-headed, fainting, mild restlessness, drowsiness, tremor, sleepiness, dreaming more than usual, blurred vision, dizziness, headache, weight gain, problems with urination, nausea, dry mouth, constipation, decreased sex drive, impotence, difficulty having an orgasm
Thioridazine|Mellaril|Blurred vision, breast development in men, breast milk secretion, constipation, diarrhea, drowsiness, dry mouth, impotence, nausea, swelling in the arms and legs, edema, tardive dyskinesia, involuntary muscle spasms and twitches in the face and body, vomiting
Ziprasidone|Geodon|dizziness, feeling light-headed, fainting, fast heartbeat, pounding heartbeat, stiff muscles, confusion, sweating, uneven heartbeats, fever, chills, body aches, flu symptoms, white patches inside your mouth, sores inside your mouth, sores on your lips, tremor, uncontrolled shaking, restless muscle movements in your eyes, restless muscle movements in your tongue, restless muscle movements in your jaw, restless muscle movements in your neck, agitation, hostility, confusion, increased thirst, increased urination, weakness, extreme hunger, penis erection that is painful, penis erection lasts 4 hours or longer, mild skin rash, anxiety, headache, depressed mood, dizziness, drowsiness, muscle pain, muscle twitching, nausea, vomiting, loss of appetite, runny nose, stuffy nose, cough, sore throat, weight gain
Diazepam|Diastat, Diastat Pediatric, Diazepam Intensol, Valium|Decreased coordination, diarrhea, dizziness, drowsiness, headache, nervousness, stomach pain, stuffy nose, rash, hives, itching, difficulty breathing, tightness in the chest, swelling of the mouth, swelling of the face, swelling of the lips, swelling of the tongue, hallucinations, mental changes, mood changes, muscle spasms, muscle twitching, new seizures, worsened seizures, overexcitement, shortness of breath, sleep disturbances, trouble sleeping, wheezing
Valproic Acid|Depakene, Stavzor|Constipation, diarrhea, dizziness, drowsiness, headache, increased appetite, decreased appetite, mild hair loss, nausea, sore throat, stomach pain, upset stomach, trouble sleeping, vomiting, weight gain, rash, hives, itching, difficulty breathing, tightness in the chest, swelling of the mouth, swelling of the face, swelling of the lips, swelling of the tongue, abnormal thinking, behavior changes, blurred vision, other vision changes, change in menstrual period, change in the amount of urine produced, chest pain, confusion, dark urine, fast heartbeat, irregular heartbeat, fever, chills, persistent sore throat, general feeling of being unwell, hallucinations, hearing loss, joint pain, joint weakness, muscle pain, muscle weakness, loss of coordination, memory loss, mental changes, mood changes, depression, nervousness, pale stools, red skin, swollen skin, blistered skin, ringing in the ears, severe nausea, persistent nausea, vomiting, loss of appetite, severe stomach pain, persistent stomach pain, cramps, sluggishness, suicidal thoughts, suicidal actions, swelling of the arms, swelling of the legs, swollen lymph nodes, tremor, trouble speaking, trouble walking, uncontrolled muscle movements, unusual bleeding, unusual bruising, unusual tiredness, unusual weakness, yellowing of the skin, yellowing of the eyes
Topiramate|Topamax|sudden vision loss, pain around eyes, pain behind your eyes, dry mouth, increased thirst, confusion, drowsiness, decreased sweating, increased body temperature, hot dry skin, nausea, vomiting, increased urination, muscle pain, muscle weakness, fast heart rate, feeling light-headed, fainting, seizure, convulsions, severe pain in your side, severe pain in your lower back, painful urination, difficult urination, slowed thinking, memory problems, trouble concentrating, problems with speech, problems with balance, numbness, tingling, sleep problems, insomnia, tired feeling, headache, dizziness, loss of appetite, weight loss
Carbamazepine|Tegretol, Carbatrol, Epitol, Equetro|fever, sore throat, headache with a severe blistering skin, peeling skin, red skin rash, pale skin, easy bruising, easy bleeding, unusual weakness, white patches inside your mouth, sores inside your mouth, sores on your lips, feeling short of breath, swelling of your ankles, swelling of your feet, nausea, stomach pain, loss of appetite, jaundice, yellowing of the skin, yellowing of the eyes, urinating less than usual, feeling dizzy, drowsy, unsteady, vomiting, diarrhea, constipation, stomach pain, confusion, headache, blurred vision, ringing in your ears, dry mouth, swollen tongue, joint pain, muscle pain, leg cramps
Lamotrigine|Lamictal|the first sign of any skin rash, fever, sore throat, headache with a severe blistering skin, headache with peeling skin, headache with red skin rash, chest pain, pale skin, easy bruising, easy bleeding, fever, chills, body aches, flu symptoms, muscle pain, tenderness, weakness with fever, weakness with flu symptoms and dark colored urine, nausea, stomach pain, low fever, loss of appetite, dark urine, clay-colored stools, jaundice, yellowing of the skin, yellowing of the eyes, dizziness, drowsiness, blurred vision, mild nausea, vomiting, diarrhea, upset stomach, headache, lack of coordination, weight loss, sleep problems, insomnia, unusual dreams, runny nose, stuffy nose
Gabapentin|Neurontin|increased seizures, fever, chills, body aches, flu symptoms, swelling of your ankles, swelling fo your feet, confusion, rapid back and forth movement of your eyes, tremor, easy bruising, changes in behavior, memory problems, trouble concentrating, acting restless, acting hostile, acting aggressive, dizziness, drowsiness, weakness, tired feeling, lack of coordination, blurred vision, nausea, vomiting, stomach pain, loss of appetite, diarrhea, constipation, dry mouth, runny nose, stuffy nose, sore throat, headache, sleep problems, insomnia, unusual dreams, acne, mild skin rash
Oxcarbazepine|Trileptal|sore throat, headache with a severe blistering, headache with peeling skin, headache with red skin rash, jaundice, yellowing of the skin, yellowing of the eyes, fever, swollen glands, flu-like symptoms, easy bruising, easy bleeding, unusual weakness, urinating less than usual, not urinating at all, increased seizures, mild nausea, vomiting, stomach pain, diarrhea, problems with speech, problems with balance, problems with coordination, blurred vision, mental slowness, trouble concentrating, tremors, shaking, dizziness, drowsiness, skin rash
Lithium carbonate|Eskalith, Lithobid|Mild hand tremor, mild thirst, temporary nausea, mild nausea, general discomfort at the beginning of treatment, rash, hives, itching, difficulty breathing, tightness in the chest, swelling of the mouth, swelling of the face, swelling of the lips, swelling of the tongue, blurred vision, confusion, diarrhea, drowsiness, excessive weight gain, fainting, giddiness, inability to control the bladder, inability to control bowels, increased thirst, increased urination, decreased urination, involuntary twitching, involuntary muscle movements, loss of consciousness, loss of coordination, muscle weakness, persistent headache, persistent nausea, severe nausea, ringing in the ears, seizures, slow heartbeat, irregular heartbeat, slurred speech, swelling of the ankles, swelling of the wrists, unsteadiness, vision changes, vomiting
Amphetamine|Adderall|Adderall XR|fast heartbeats, pounding heartbeats, uneven heartbeats, feeling light-headed, fainting, increased blood pressure, severe headache, blurred vision, trouble concentrating, chest pain, numbness, seizure, tremor, restlessness, hallucinations, unusual behavior, motor tics, muscle twitches, headache, dizziness, sleep problems, insomnia, dry mouth, an unpleasant taste in your mouth, diarrhea, constipation, loss of appetite, weight loss, loss of interest in sex, impotence, difficulty having an orgasm
Caffeine|No Doz Max. Strength, Revive, Stay Awake, Vivarin, Enerjets, Lucidex|Dizziness, irritability, nausea, nervousness, rash, hives, itching, difficulty breathing, tightness in the chest, swelling of the mouth, swelling of the face, swelling of the lips, swelling of the tongue, diarrhea, shakiness, trouble sleeping, vomiting
Methylphenidate|Daytrana|fast heartbeats, pounding heartbeats, uneven heartbeats, feeling light-headed, fainting, increased blood pressure, severe headache, blurred vision, trouble concentrating, chest pain, numbness, seizure, redness, swelling, itching, blistering where the skin patch was worn, blistering may also spread areas other than where patch is placed, headache with fever, weakness, joint pain, diarrhea, vomiting, aggression, restlessness, hallucinations, unusual behavior, motor tics, muscle twitches, confusion, crying, feeling irritable, vision problems, mild skin redness, mild skin bumps, itching, nausea, loss of appetite, weight loss, sleep problems, insomnia, stuffy nose, sore throat
Modafinil|Provigil|fever, sore throat, headache, vomiting with a severe blistering, peeling, and red skin rash, bruising, severe tingling, numbness, pain, muscle weakness, easy bruising, easy bleeding, white patches inside your mouth, sores inside your mouth, sores on your lips, hallucinations, unusual thoughts, unusual behavior, anxiety, chest pain, uneven heart beats, headache, dizziness, feeling nervous, feeling agitated, nausea, diarrhea, trouble sleeping, insomnia, dry mouth
