 Feeder Key,Description,   
05668-RRIMS,"ANGIOGRAPHY...ARY, UNILAT",
05860-RRIMS,"ANGIOGRAPHY...ARY, BILATE",
07075-RRIMS, Tibia Fibula 2vw AP/Lat,
07075C-RRIMS,Tibia 2 vw AP/Lat cntr proximal,
07076-RRIMS, Lower Extremity (Hip to ankle),
07147-RRIMS,MRA LOWER EXTREMITY W OR W/O C,
07166-RRIMS,"MRA ABDOMEN W OR W/O CONTRAST,",
07234-RRIMS,"ANGIOGRAPHY, EXTREMITY, UNILAT",
07318-RRIMS,"ANGIOGRAPHY, EXTREMITY, UNILAT",
07319-RRIMS,"ANGIOGRAPHY, EXTREMITY, UNILAT",
07323-RRIMS, MRI Abd wo&w Lmtd,
07349-RRIMS,"CT ANGIOGRAPHY, ABDOMEN, INCLU",
07351-RRIMS,"CT ANGIOGRAPHY, PELVIS, INCLUD",
07410-RRIMS,"MRA PELVIS, W OR W/O CONTRAST",
07552-RRIMS,US Lower Extrem Art-Graft Cmpl,
07556-RRIMS, US Extremity Veins Complete
71867-RRIMS,ATHERECTOMY PERIPHERAL EA ADDL
71924-RRIMS,RETROPERITONEAL SONOGRAM CMP
71925-RRIMS,RETROPERITONEAL SONOGRAM LTD
72191-RRIMS,"CT ANGIOGRAPHY, PELVIS, INCLUD"
72199-RRIMS,"MRI,ANGIO ILIAC-FEML ARTERIES"
72208-RRIMS,MRA PELVIS W/WO CST PROF
72209-RRIMS,MRA PELVIS W/CST CMP
72211-RRIMS,MRA PELVIS WO/CST CMP
72212-RRIMS,MRA PELVIS WO/CST PROF
72214-RRIMS,MRA LOW EXT WO/CST
73246-RRIMS,"MRI, ANGIO, LOWER ARM, LT"
73247-RRIMS,"MRI, ANGIO; LOWER ARM, RT"
73706-RRIMS,"CT ANGIOGRAPHY, LOWER EXTREMIT"
73706-RRIMS, CTA Lower Ext w or wo 3D
73709-RRIMS,CT ANGIO LOWER EXTREM W/O
73725-RRIMS,MRA LOWER EXTREMITY W OR W/O C
73725-RRIMS, MRA/v Ext Lwr
73731-RRIMS,MRA LOW EXT WO CST PROF
73732-RRIMS,MRA LOW EXT WO CST CMP
73734-RRIMS,MRA LOWER EXT W OR WO CST PROF
74175-RRIMS,"CT ANGIOGRAPHY, ABDOMEN, INCLU"
74181-RRIMS, MRI Abd wo
74183-RRIMS, MRI Abd wo&w
74185-RRIMS,MRA ABDOMEN W OR W/O CONTRAST
74189-RRIMS,MRA ABD W/WO CST PROF
74190-RRIMS,MRA ABD W CST PROF
74191-RRIMS,MRA ABDOMEN W/CONTRAST
74192-RRIMS,MRA ABD WO CST CMP
74193-RRIMS,MRA ABD WO CST PROF
75625-RRIMS,"AORTOGRAM, ABDOMINAL"
75626-RRIMS,"IR, AORTOGRAM; ABDOMINAL"
75630-RRIMS,"AORTOGRAPHY, ABDOMINAL PLUS BI"
75635-RRIMS,"CT ANGIOGRAPHY, ABDOMINAL AORT"
75716-RRIMS,"ANGIOGRAPHY, EXTREMITY, BILATE"
75736-RRIMS,"ANGIOGRAPHY, PELVIC, SELECTIVE"
75904-RRIMS,"IR, ARTERIOGRAM THRU CATH"
75951-RRIMS,"IR, ENDO REPAIR ILIAC ART"
75954-RRIMS,ENDOVASCULAR REPAIR OF ILIAC A
75992-RRIMS,"TRANSLUMINAL ATHERECTOMY, PERI"
76770-RRIMS,RETROPERITONEAL SONOGRAPHY - C
76770-RRIMS, US Retroperitoneal Complete
76775-RRIMS, US Retroperitoneal Limited
76880-RRIMS, US Extremity Nonvascular
76936-RRIMS, US Pseudoaneurysm Complete
94521-RRIMS,"MR ANGIO FOOT/ANKLE, RIGHT"
95052-RRIMS,"MR ANGIO LOWER LEG, LT"
95053-RRIMS,"MR ANGIO LOWER LEG, RT"
95058-RRIMS,"MR ANGIO FOOT/ANKLE, LT"
95779-RRIMS,"IR, ENDO REPAIR ILIAC ARTERY"
CT0026-RRIMS, CT Development (CIC)
CT424D-RRIMS, CT Colonography
CT811-RRIMS, CT NECK wo&w & CHEST w
CTA005-RRIMS, CTA Chest/Abd w or wo 3D
CTA006-RRIMS, CTA CH/Abd/Aorta runoff w wo3D
CTA008-RRIMS, CTA Chest/Abd/Pelv w or wo 3D
CTA027-RRIMS, CTA Pelvis w/runoff w or wo3D
CTUR02-RRIMS, CT Urogram w 3D
DG092-RRIMS, Major Jnt Asp and/or Inj
MR460A-RRIMS, MRI Abd w & MRA/v Abd
MR460B-RRIMS, MRI ABD wo&w & MRA/v Abd
MR465-RRIMS, MRA/v Abd & MRA/v Ext Lwr
NR016-RRIMS, NRAD Temp. Balloon Occlu.
NR021-RRIMS, NRAD Stent Great Vessel
OSF011-RRIMS, OS CT Abd and or Pelvis
OSF012-RRIMS, OS CT Chest
OSF013-RRIMS, OS CT Extremity
OSF021-RRIMS, OS MR Abd and or Pelvis
OSF023-RRIMS, OS MR Chest
OSF024-RRIMS, OS MR Extremity
OSF032-RRIMS, OS US Vascular
OSF033-RRIMS, OS US Other
OSF051-RRIMS, OS VI Angio or Interv.
OSF-RRIMS, OUTSIDE X-RAY
US431-RRIMS, US Abd Cmpl with Doppler Lmtd
VI002-RRIMS, V&IRAD ART. ABD AORTA
VI003-RRIMS, V&IRAD ART. AORTA BRANCH
VI004-RRIMS, V&IRAD ART. ARCH&GRT VES.
VI007-RRIMS, V&IRAD ART LOWER EXT.
VI008-RRIMS, V&IRAD ART. PELVIC ANGIO
VI010-RRIMS, V&IRAD ART. RENAL
VI011-RRIMS, V&IRAD ART. THORACIC AO.
VI012-RRIMS, V&IRAD ART.UPPER EXT.
VI013-RRIMS, V&IRAD ART. VISCERAL
VI028-RRIMS, V&IRAD EMBOL EXTREMITY
VI030-RRIMS, V&IRAD EMBOL PELVIC
VI032-RRIMS, V&IRAD EMBOL OTHER
VI036-RRIMS, V&IRAD EMBOL VISCERAL
VI043-RRIMS, V&IRAD INFUSION NON LYTIC
VI044-RRIMS, V&IRAD INTRA-OP NONVASC
VI045-RRIMS, V&IRAD INTRA-OP VASC
VI050-RRIMS, V&IRAD LYTIC RX ARTERIAL
VI051-RRIMS, V&IRAD LYTIC RX VENOUS
VI060-RRIMS, V&IRAD PRESSURE READING
VI061-RRIMS, V&IRAD PTA AORTA
VI065-RRIMS, V&IRAD PTA FEM-POP
VI066-RRIMS, V&IRAD PTA ILIAC ART.
VI067-RRIMS, V&IRAD PTA RENAL
VI068-RRIMS, V&IRAD PTA TIBIA
VI069-RRIMS, V&IRAD PTA VENOUS
VI076-RRIMS, V&IRAD STENT AORTA
VI077-RRIMS, V&IRAD STENT ARCH VESSELS
VI079-RRIMS, V&IRAD PTA VISCERAL
VI080-RRIMS, V&IRAD STENT FEM-POP
VI081-RRIMS, V&IRAD STENT ILIAC
VI082-RRIMS, V&IRAD STENT RENAL/VISCERAL
VI088-RRIMS, V&IRAD VENO IVC
VI091-RRIMS, V&IRAD VENO LOWER EXT
VI099-RRIMS, V&IRAD ABD AORTA/LOWER EXT
VI101-RRIMS, V&IRAD ART. RENAL RENIN
VI107-RRIMS, V&IRAD IV DSA
VI115-RRIMS, V&IRAD VENOUS ACCESS - CXR
VI124-RRIMS, V&IRAD Declot - Other
VI135-RRIMS, V&IRAD ENDOGRAFT/AORTA
VI150-RRIMS, V&IRAD Vascular
VI165-RRIMS, V&IRAD Vascular & Intervention
VI166-RRIMS, V&IRAD IVUS
VI170-RRIMS, V&IRAD Ultrasound Guidance
US438-RRIMS ,US Retro Lmtd w Doppler Lmtd
CT421-RRIMS,OUTSIDE X-RAY
07583-RRIMS,US Abdomen Complete
